"","PLAYER_NAME","Type","PERIOD","Shot_Quantity","Made_Quantity","Percentage"
"559","Alec Burks","Jump Shot",2,35,10,0.285714285714286
"560","Alec Burks","Layup Shot",2,4,0,0
"561","Alec Burks","Pullup Jump shot",2,2,0,0
"562","Alec Burks","Running Bank shot",2,2,2,1
"563","Alec Burks","Running Jump Shot",2,2,1,0.5
"564","Alec Burks","Step Back Jump shot",2,1,1,1
"565","Alec Burks","Tip Shot",2,2,1,0.5
"566","Alec Burks","Turnaround Jump Shot",2,1,1,1
"567","Alec Burks","Driving Jump shot",3,2,0,0
"568","Alec Burks","Driving Layup Shot",3,9,5,0.555555555555556
"569","Alec Burks","Driving Reverse Layup Shot",3,2,1,0.5
"570","Alec Burks","Floating Jump shot",3,2,0,0
"571","Alec Burks","Jump Bank Shot",3,2,2,1
"572","Alec Burks","Jump Shot",3,38,14,0.368421052631579
"573","Alec Burks","Layup Shot",3,4,1,0.25
"574","Alec Burks","Pullup Jump shot",3,4,2,0.5
"575","Alec Burks","Running Bank Hook Shot",3,1,1,1
"576","Alec Burks","Running Dunk Shot",3,1,1,1
"577","Alec Burks","Running Jump Shot",3,6,2,0.333333333333333
"578","Alec Burks","Running Slam Dunk Shot",3,1,1,1
"579","Alec Burks","Driving Bank shot",4,1,1,1
"580","Alec Burks","Driving Finger Roll Layup Shot",4,1,1,1
"581","Alec Burks","Driving Layup Shot",4,9,2,0.222222222222222
"582","Alec Burks","Driving Reverse Layup Shot",4,2,2,1
"583","Alec Burks","Fadeaway Jump Shot",4,1,0,0
"584","Alec Burks","Floating Jump shot",4,1,0,0
"585","Alec Burks","Jump Shot",4,39,11,0.282051282051282
"586","Alec Burks","Layup Shot",4,14,2,0.142857142857143
"587","Alec Burks","Pullup Jump shot",4,4,3,0.75
"588","Alec Burks","Putback Dunk Shot",4,1,1,1
"589","Alec Burks","Running Bank shot",4,2,2,1
"590","Alec Burks","Running Jump Shot",4,2,0,0
"591","Alec Burks","Tip Shot",4,1,1,1
"592","Alex Len","Alley Oop Dunk Shot",1,3,3,1
"593","Alex Len","Driving Reverse Layup Shot",1,2,2,1
"594","Alex Len","Dunk Shot",1,12,10,0.833333333333333
"595","Alex Len","Hook Shot",1,8,2,0.25
"596","Alex Len","Jump Bank Shot",1,2,1,0.5
"597","Alex Len","Jump Hook Shot",1,1,0,0
"598","Alex Len","Jump Shot",1,42,18,0.428571428571429
"599","Alex Len","Layup Shot",1,26,10,0.384615384615385
"600","Alex Len","Putback Dunk Shot",1,4,3,0.75
"601","Alex Len","Putback Layup Shot",1,4,4,1
"602","Alex Len","Reverse Dunk Shot",1,1,1,1
"603","Alex Len","Reverse Layup Shot",1,3,3,1
"604","Alex Len","Running Bank shot",1,2,1,0.5
"605","Alex Len","Running Hook Shot",1,1,0,0
"606","Alex Len","Running Layup Shot",1,1,1,1
"607","Alex Len","Slam Dunk Shot",1,4,4,1
"608","Alex Len","Step Back Jump shot",1,1,0,0
"609","Alex Len","Tip Shot",1,4,2,0.5
"610","Alex Len","Turnaround Hook Shot",1,1,1,1
"611","Alex Len","Turnaround Jump Shot",1,3,1,0.333333333333333
"612","Alex Len","Alley Oop Dunk Shot",2,3,3,1
"613","Alex Len","Alley Oop Layup shot",2,1,0,0
"614","Alex Len","Driving Dunk Shot",2,1,1,1
"615","Alex Len","Dunk Shot",2,14,14,1
"616","Alex Len","Hook Shot",2,2,1,0.5
"617","Alex Len","Jump Shot",2,23,4,0.173913043478261
"618","Alex Len","Layup Shot",2,19,10,0.526315789473684
"619","Alex Len","Putback Layup Shot",2,1,1,1
"620","Alex Len","Running Hook Shot",2,1,0,0
"621","Alex Len","Running Jump Shot",2,2,2,1
"622","Alex Len","Slam Dunk Shot",2,2,2,1
"623","Alex Len","Tip Shot",2,2,0,0
"624","Alex Len","Turnaround Fadeaway shot",2,1,1,1
"625","Alex Len","Turnaround Jump Shot",2,4,1,0.25
"626","Alex Len","Alley Oop Dunk Shot",3,1,1,1
"627","Alex Len","Alley Oop Layup shot",3,3,2,0.666666666666667
"628","Alex Len","Driving Dunk Shot",3,2,2,1
"629","Alex Len","Dunk Shot",3,13,10,0.769230769230769
"630","Alex Len","Fadeaway Jump Shot",3,1,1,1
"631","Alex Len","Hook Shot",3,2,0,0
"632","Alex Len","Jump Bank Shot",3,1,0,0
"633","Alex Len","Jump Shot",3,36,11,0.305555555555556
"634","Alex Len","Layup Shot",3,16,9,0.5625
"635","Alex Len","Pullup Jump shot",3,1,0,0
"636","Alex Len","Putback Dunk Shot",3,1,1,1
"637","Alex Len","Putback Layup Shot",3,3,2,0.666666666666667
"638","Alex Len","Reverse Layup Shot",3,4,1,0.25
"639","Alex Len","Running Hook Shot",3,1,1,1
"640","Alex Len","Slam Dunk Shot",3,5,5,1
"641","Alex Len","Step Back Jump shot",3,1,0,0
"642","Alex Len","Tip Shot",3,4,1,0.25
"643","Alex Len","Turnaround Fadeaway shot",3,1,0,0
"644","Alex Len","Turnaround Jump Shot",3,2,0,0
"645","Alex Len","Driving Layup Shot",4,1,0,0
"646","Alex Len","Dunk Shot",4,5,5,1
"647","Alex Len","Hook Shot",4,2,1,0.5
"648","Alex Len","Jump Shot",4,14,1,0.0714285714285714
"649","Alex Len","Layup Shot",4,15,9,0.6
"650","Alex Len","Putback Dunk Shot",4,1,1,1
"651","Alex Len","Putback Layup Shot",4,2,2,1
"652","Alex Len","Reverse Layup Shot",4,3,1,0.333333333333333
"653","Alex Len","Running Tip Shot",4,2,2,1
"654","Alex Len","Tip Shot",4,6,2,0.333333333333333
"655","Alex Len","Turnaround Fadeaway shot",4,1,0,0
"656","Alex Len","Turnaround Hook Shot",4,1,0,0
"657","Alex Len","Turnaround Jump Shot",4,1,1,1
"658","Alexis Ajinca","Driving Bank shot",1,2,1,0.5
"659","Alexis Ajinca","Dunk Shot",1,1,1,1
"660","Alexis Ajinca","Floating Jump shot",1,1,1,1
"661","Alexis Ajinca","Hook Shot",1,1,0,0
"662","Alexis Ajinca","Jump Bank Shot",1,3,2,0.666666666666667
"663","Alexis Ajinca","Jump Hook Shot",1,3,1,0.333333333333333
"664","Alexis Ajinca","Jump Shot",1,21,7,0.333333333333333
"665","Alexis Ajinca","Layup Shot",1,4,2,0.5
"666","Alexis Ajinca","Pullup Jump shot",1,1,0,0
"667","Alexis Ajinca","Putback Layup Shot",1,1,0,0
"668","Alexis Ajinca","Reverse Layup Shot",1,1,1,1
"669","Alexis Ajinca","Running Bank Hook Shot",1,1,1,1
"670","Alexis Ajinca","Running Hook Shot",1,1,1,1
"671","Alexis Ajinca","Running Slam Dunk Shot",1,1,1,1
"672","Alexis Ajinca","Slam Dunk Shot",1,1,1,1
