"","PLAYER_NAME","Type","Shot_Quantity","Made_Quantity","Percentage"
"75","Adreian Payne","Running Layup Shot",4,1,0.25
"76","Adreian Payne","Slam Dunk Shot",5,5,1
"77","Adreian Payne","Step Back Jump shot",1,0,0
"78","Adreian Payne","Tip Shot",5,1,0.2
"79","Adreian Payne","Turnaround Hook Shot",1,1,1
"80","Adreian Payne","Turnaround Jump Shot",10,5,0.5
"81","Al Horford","Alley Oop Dunk Shot",24,23,0.958333333333333
"82","Al Horford","Alley Oop Layup shot",12,11,0.916666666666667
"83","Al Horford","Driving Dunk Shot",5,4,0.8
"84","Al Horford","Driving Finger Roll Layup Shot",4,4,1
"85","Al Horford","Driving Hook Shot",10,6,0.6
"86","Al Horford","Driving Jump shot",13,6,0.461538461538462
"87","Al Horford","Driving Layup Shot",20,12,0.6
"88","Al Horford","Driving Reverse Layup Shot",6,3,0.5
"89","Al Horford","Driving Slam Dunk Shot",5,4,0.8
"90","Al Horford","Dunk Shot",26,25,0.961538461538462
"91","Al Horford","Fadeaway Jump Shot",7,3,0.428571428571429
"92","Al Horford","Finger Roll Layup Shot",2,2,1
"93","Al Horford","Floating Jump shot",9,5,0.555555555555556
"94","Al Horford","Hook Shot",37,16,0.432432432432432
"95","Al Horford","Jump Bank Shot",5,2,0.4
"96","Al Horford","Jump Hook Shot",18,12,0.666666666666667
"97","Al Horford","Jump Shot",518,226,0.436293436293436
"98","Al Horford","Layup Shot",113,71,0.628318584070796
"99","Al Horford","Pullup Jump shot",5,3,0.6
"100","Al Horford","Putback Dunk Shot",4,4,1
"101","Al Horford","Putback Layup Shot",10,9,0.9
"102","Al Horford","Putback Slam Dunk Shot",1,1,1
"103","Al Horford","Reverse Dunk Shot",1,1,1
"104","Al Horford","Reverse Layup Shot",4,3,0.75
"105","Al Horford","Running Bank shot",1,0,0
"106","Al Horford","Running Dunk Shot",10,10,1
"107","Al Horford","Running Finger Roll Layup Shot",2,1,0.5
"108","Al Horford","Running Hook Shot",8,5,0.625
"109","Al Horford","Running Jump Shot",7,4,0.571428571428571
"110","Al Horford","Running Layup Shot",9,9,1
"111","Al Horford","Running Slam Dunk Shot",3,3,1
"112","Al Horford","Slam Dunk Shot",6,6,1
"113","Al Horford","Step Back Jump shot",8,3,0.375
"114","Al Horford","Tip Shot",12,5,0.416666666666667
"115","Al Horford","Turnaround Bank Hook Shot",1,0,0
"116","Al Horford","Turnaround Bank shot",1,1,1
"117","Al Horford","Turnaround Fadeaway shot",4,1,0.25
"118","Al Horford","Turnaround Hook Shot",13,7,0.538461538461538
"119","Al Horford","Turnaround Jump Shot",21,8,0.380952380952381
"120","Al Jefferson","Driving Finger Roll Layup Shot",1,1,1
"121","Al Jefferson","Driving Hook Shot",1,0,0
"122","Al Jefferson","Driving Jump shot",2,1,0.5
"123","Al Jefferson","Driving Layup Shot",3,2,0.666666666666667
"124","Al Jefferson","Dunk Shot",10,10,1
"125","Al Jefferson","Fadeaway Jump Shot",4,1,0.25
"126","Al Jefferson","Finger Roll Layup Shot",1,1,1
"127","Al Jefferson","Floating Jump shot",5,5,1
"128","Al Jefferson","Hook Shot",61,25,0.409836065573771
"129","Al Jefferson","Jump Bank Shot",3,3,1
"130","Al Jefferson","Jump Hook Shot",20,14,0.7
"131","Al Jefferson","Jump Shot",506,193,0.381422924901186
"132","Al Jefferson","Layup Shot",238,143,0.600840336134454
"133","Al Jefferson","Pullup Jump shot",3,2,0.666666666666667
"134","Al Jefferson","Putback Dunk Shot",2,2,1
"135","Al Jefferson","Putback Layup Shot",8,7,0.875
"136","Al Jefferson","Reverse Layup Shot",5,5,1
"137","Al Jefferson","Running Jump Shot",4,2,0.5
"138","Al Jefferson","Running Layup Shot",1,1,1
"139","Al Jefferson","Slam Dunk Shot",3,3,1
"140","Al Jefferson","Step Back Jump shot",4,2,0.5
"141","Al Jefferson","Tip Shot",14,8,0.571428571428571
"142","Al Jefferson","Turnaround Bank Hook Shot",1,1,1
"143","Al Jefferson","Turnaround Bank shot",2,2,1
"144","Al Jefferson","Turnaround Fadeaway shot",4,3,0.75
"145","Al Jefferson","Turnaround Hook Shot",45,23,0.511111111111111
"146","Al Jefferson","Turnaround Jump Shot",59,26,0.440677966101695
"147","Al-Farouq Aminu","Alley Oop Dunk Shot",5,3,0.6
