"","SHOT_DISTANCE","Type","Shot_Quantity","Made_Quantity"
"256",7,"Driving Bank Hook Shot",3,3
"257",7,"Driving Bank shot",28,16
"258",7,"Driving Hook Shot",30,9
"259",7,"Driving Jump shot",154,51
"260",7,"Fadeaway Bank shot",8,7
"261",7,"Fadeaway Jump Shot",108,44
"262",7,"Floating Jump shot",349,210
"263",7,"Hook Bank Shot",5,2
"264",7,"Hook Shot",416,158
"265",7,"Jump Bank Hook Shot",4,2
"266",7,"Jump Bank Shot",116,75
"267",7,"Jump Hook Shot",202,125
"268",7,"Jump Shot",1636,383
"269",7,"Pullup Bank shot",3,2
"270",7,"Pullup Jump shot",41,28
"271",7,"Running Bank Hook Shot",5,5
"272",7,"Running Bank shot",106,69
"273",7,"Running Hook Shot",91,48
"274",7,"Running Jump Shot",345,146
"275",7,"Step Back Jump shot",28,11
"276",7,"Tip Shot",1,0
"277",7,"Turnaround Bank Hook Shot",15,12
"278",7,"Turnaround Bank shot",41,27
"279",7,"Turnaround Fadeaway shot",53,20
"280",7,"Turnaround Hook Shot",158,79
"281",7,"Turnaround Jump Shot",217,88
"282",8,"Driving Bank Hook Shot",1,1
"283",8,"Driving Bank shot",23,18
"284",8,"Driving Hook Shot",18,9
"285",8,"Driving Jump shot",108,48
"286",8,"Fadeaway Bank shot",16,11
"287",8,"Fadeaway Jump Shot",122,68
"288",8,"Floating Jump shot",310,167
"289",8,"Hook Bank Shot",7,4
"290",8,"Hook Shot",289,124
"291",8,"Jump Bank Hook Shot",1,1
"292",8,"Jump Bank Shot",72,40
"293",8,"Jump Hook Shot",142,68
"294",8,"Jump Shot",1363,352
"295",8,"Pullup Bank shot",9,8
"296",8,"Pullup Jump shot",57,33
"297",8,"Running Bank Hook Shot",4,4
"298",8,"Running Bank shot",70,45
"299",8,"Running Hook Shot",63,37
"300",8,"Running Jump Shot",295,138
"301",8,"Step Back Jump shot",28,7
"302",8,"Tip Shot",1,0
"303",8,"Turnaround Bank Hook Shot",8,8
"304",8,"Turnaround Bank shot",31,21
"305",8,"Turnaround Fadeaway shot",88,52
"306",8,"Turnaround Hook Shot",152,80
"307",8,"Turnaround Jump Shot",248,116
"308",9,"Driving Bank shot",23,18
"309",9,"Driving Hook Shot",15,7
"310",9,"Driving Jump shot",78,33
"311",9,"Fadeaway Bank shot",6,5
"312",9,"Fadeaway Jump Shot",117,55
"313",9,"Floating Jump shot",266,153
"314",9,"Hook Bank Shot",5,4
"315",9,"Hook Shot",168,71
"316",9,"Jump Bank Hook Shot",1,0
"317",9,"Jump Bank Shot",83,54
"318",9,"Jump Hook Shot",70,41
"319",9,"Jump Shot",1278,305
"320",9,"Pullup Bank shot",5,4
"321",9,"Pullup Jump shot",91,62
"322",9,"Running Bank shot",87,56
"323",9,"Running Hook Shot",33,12
"324",9,"Running Jump Shot",227,109
"325",9,"Step Back Jump shot",39,22
"326",9,"Turnaround Bank Hook Shot",6,2
"327",9,"Turnaround Bank shot",29,24
"328",9,"Turnaround Fadeaway shot",96,41
"329",9,"Turnaround Hook Shot",106,56
"330",9,"Turnaround Jump Shot",253,122
"331",10,"Driving Bank shot",15,12
"332",10,"Driving Hook Shot",5,2
"333",10,"Driving Jump shot",47,19
"334",10,"Fadeaway Bank shot",6,4
"335",10,"Fadeaway Jump Shot",159,78
"336",10,"Floating Jump shot",219,103
"337",10,"Hook Bank Shot",2,2
"338",10,"Hook Shot",109,36
"339",10,"Jump Bank Shot",73,41
"340",10,"Jump Hook Shot",67,39
"341",10,"Jump Shot",1265,324
"342",10,"Pullup Bank shot",10,7
"343",10,"Pullup Jump shot",115,64
"344",10,"Running Bank shot",50,31
"345",10,"Running Hook Shot",12,5
"346",10,"Running Jump Shot",203,89
"347",10,"Step Back Jump shot",61,29
"348",10,"Turnaround Bank Hook Shot",1,1
"349",10,"Turnaround Bank shot",20,11
"350",10,"Turnaround Fadeaway shot",106,51
"351",10,"Turnaround Hook Shot",52,27
"352",10,"Turnaround Jump Shot",220,97
"353",11,"Driving Bank shot",7,4
"354",11,"Driving Jump shot",31,17
"355",11,"Fadeaway Bank shot",12,10
"356",11,"Fadeaway Jump Shot",190,92
"357",11,"Floating Jump shot",177,95
"358",11,"Hook Bank Shot",2,1
"359",11,"Hook Shot",44,16
"360",11,"Jump Bank Shot",77,40
"361",11,"Jump Hook Shot",29,12
"362",11,"Jump Shot",1445,413
"363",11,"Pullup Bank shot",7,4
"364",11,"Pullup Jump shot",166,101
"365",11,"Running Bank shot",42,27
"366",11,"Running Hook Shot",15,9
"367",11,"Running Jump Shot",144,64
"368",11,"Step Back Jump shot",70,35
"369",11,"Turnaround Bank Hook Shot",1,1
